chinese,pinyin,later_han,turkish_render,proposed_name,proposed_sense,note,status
谷蠡,luli / guli,kok leᴮ,kok le,Körklü,"glorious, imposing","谷 kok → körk: the default velar onset, with the -k coda written and the -r- unwritten before it. Later Han has no -r coda, so a source -rk cannot be written at all without spending a further character on an l- syllable; leaving it unwritten is the only option two characters allow, and it is the majority practice: step 31 counts 63 verified pairs whose source form has a liquid before a consonant, and the liquid is unwritten in 54 of them, 86% (達磨 for dharma, 薩達摩 for saddharma, 播鉢吒 for parpaṭa). In 6 of the 63, 10%, the scribe spent a further character carrying an l- onset instead, so the step this reading asks for has a measured minority against it rather than none. 蠡 leᴮ → lü: the l- onset direct, with an open coda. Two characters, two syllables, one unwritten consonant. Both are polyphonic characters: the table gives 谷 as kok, jok and lok, and 蠡 as leᴮ and loiᴮ; this reading takes the first of each. Körklü, “glorious, imposing”. The word is a headword in both lexicons used here: Kāşgarî has körklüg, glossed iyi, güzel ve gösterişli, “good, beautiful and imposing”, and the Codex Cumanicus has körk glossed decus, glory or dignity rather than prettiness. Clauson records the form across the whole span, with Kipchak and Coman körklü / körkli and Osmanlı görklü. The Kipchak form matters for the spelling: körklü carries no final -g, so the open coda of 蠡 is simply correct and nothing further needs licensing. The word is used of exalted figures and not only of pretty objects: an Old Turkic Buddhist text has teŋridem kız azu teŋri oğlanı teg körkle oğlan, “a child as beautiful as a divine girl or a son of God” (TT V 12, 127, via Clauson). Two caveats belong with that citation: Clauson calls the text a fairly late one, and he queries whether the -le form körkle / körtle is native rather than borrowed. The form this reading uses, körklüg, is not in doubt, being a straightforward derivation in -lüg from the attested körk. An authority assigns 谷 a different reading in this very title. Pulleyblank's Lexicon, at K1202a, glosses 谷 read lu as “luli king, Xiongnu title”, cross-referring gu and yu as the other readings. That is the lok branch, on which no Turkic word can fill the first syllable at all, so if Pulleyblank is right this reading is not available and 谷蠡 is not a Turkic word. The proposal is recorded with that against it, unresolved. The other readings of 谷 do not compete. On lok, which the office's conventional name, the Luli Kings, would suggest, the first syllable begins with a Chinese l-, and a Chinese l- writes a source l- or r-. Turkic admits neither initially: Clauson calls initial r-, like initial l-, a sound entirely foreign to the language, and loanwords that established themselves took a prosthetic vowel. That branch yields no candidates at all, so if 谷 is lok here, 谷蠡 is not a Turkic word. On jok, which is Schuessler's palatal glide, the frame is y…k plus l/r and admits yüklüg “laden” and yokla- “to rise, ascend”, neither of which suits an office. What cannot be tested here. The Chinese sources gloss 撑犁 and 孤塗 and say nothing about 谷蠡, so this row carries no semantic constraint at all, only the rank of the office: the 谷蠡王 of the Left and Right stood among the four highest, paired with the Wise Kings. The choice among the candidates therefore rests on the epithet argument that §S1.3 names as this supplement's main weakness, and the reading is offered as permitted rather than confirmed.","author's proposal; not supported by any measurement in the paper. The reading takes the first of the three tabulated readings of 谷; on the lok reading no Turkic word can fill the first syllable at all. No Chinese gloss exists for this item, so nothing tests the reading"
當戶,danghu,tɑŋ gɑᴮ,tang ga,Tonga,"Siberian tiger, leopard","當 tɑŋ → ton: direct, with the -ŋ coda written. 戶 gɑᴮ → ga: a velar onset, direct. Both characters do work, and the pair is the standard device for writing a medial nasal-plus-velar: in the Sanskrit corpus every source word with a medial ŋg or ŋk is written exactly this way, a -ŋ coda followed by a velar onset: 13 cases of 13, as in 央具梨 for aṅguli, 商羯羅 for śaṅkara, 鴦耆羅 for aṅgiras. Phonetically this is among the least demanding readings in the file: nothing inserted, no coda discarded, no character left over. The vowels are free as always, so Tonga, Tunga and Tanga are equally available. tonga “Siberian tiger, leopard” is the word in the name of the epic hero Alp Er Tonga. Big-cat epithets are a persistent Turkic pattern: Alp Arslan (arslan, lion), Baybars (bars, a large cat). Note that a search of the two lexicons on this frame does not return tonga itself; what it returns is tanuk “witness”, tañuk “a gift presented to a khan” and tünek “prison”, of which the second belongs to court vocabulary.",author's proposal; not supported by any measurement in the paper
骨都侯,guduhou,kuət tɑ go,kuıt ta go,Kutak,the blessed one,"骨 kuət → kut: default velar onset with the -t coda written, the tightest single syllable in this supplement. 都 tɑ then begins with the same dental, and Table 8 of the paper measures what that means: at a junction where a written coda is followed by the same-place onset, the source word carries that consonant once rather than twice in 121 of 140 cases (86%). So 骨都 transcribes kuta, not kutta. 侯 go → -k closes it, a Later Han voiced g- standing for a source k more often than for a source g. kut is “kut, uğur, devlet, baht, talih, saadet” in Kāşgarî (heavenly favour, fortune, sovereign grace) and Clauson records the verb kutad- “to be blessed”, the stem behind the Kutadgu Bilig. Kutak itself is not attested: it would be a deverbal or diminutive formation in -(A)k on that stem, which is a live suffix but not one witnessed on this word. Compare Qutalmış, ancestor of the Seljuks of Rum. Note also that kut is the Turkic candidate for 孤塗, where the Chinese gloss 子 “son” fits the Yeniseian proposal better and not this one.",author's proposal; not supported by any measurement in the paper
且渠,juqu,tsɑᴮ gɨɑ,tsa gıa,Çaka,"the striker; from çak- ‘to strike fire, to strike a blow’","且 tsɑᴮ → ça: ts- for a source affricate is a minority spelling but an attested one, 15% in the Sanskrit corpus and 9% in Ligeti, against a tś- character as the default at 37%. 渠 gɨɑ → ka: a Later Han voiced g- stands for a foreign k more often than for a foreign g. Both steps are permitted by the measured correspondences. çak- “to strike fire from flint, to sting, to slander”, which Clauson describes as onomatopoeic in character and of violent action, physical or mental. No çaka headword exists in Kāşgarî, the Codex or Clauson, only the verb and its derivatives çakmak, çakır, çakılmak, so Çaka would have to be the -A converb of that stem, and a bare converb serving as an office title is not a demonstrable pattern. The 11th-century emir Çaka Bey of Smyrna (Byzantine Τζαχᾶς, fl. 1081–93) shows that çak- could yield a personal name, but that is a personal name set against a title. The Chinese sources do not record what the office of 且渠 did, so no sense can be tested against a gloss.",author's proposal; not supported by any measurement in the paper
徑路,jinglu,keŋᶜ lɑᶜ,keng la,Kıngrak,a large cleaver-like knife,"徑 keŋᶜ → kıng: default velar onset with the -ŋ coda written. 路 lɑᶜ → ra: a Chinese l- for a source r-, the direction those counts show in 12 of 14 attestations. The Turkic word's final -k is not written, which Table 7 of the paper licenses at 30%. Not our reading. Friedrich Hirth compared 徑路 with Turkic kıŋrak in The Ancient History of China to the End of the Chóu Dynasty (1908), pp. 65–70, calling it the oldest Turkish word on record. Kāşgarî glosses kıñrak as a knife like a butcher's cleaver, for cutting meat and dough, and the Chinese sources describe 徑路 as a blade used in oath-taking, so gloss and referent agree across unconnected sources. Turkic origin, on Clauson's analysis. Clauson derives kıŋra:k as a deverbal noun from an unattested *kıŋra:-, denominal from kıñır, in the sense of something curved or something that cuts crookedly, so the word is motivated inside Turkic by the standard authority rather than by us. Kāşgarî's index carries the same family (kıñru “askew”, kañrak “palate”, koñur- “to wrench, bend back”), and the Codex glosses Kingir as curvus. Clauson also records the word alive in Teleut as kıŋırak and Kirghiz kıŋarak / kıŋırak, a rough two-edged knife for cutting felt and scraping hides. Two cautions. Kāşgarî's text at III 382 reads kırpa:k, corrected in the margin to kıŋra:k, so the form rests on an emendation; and of the family it is kıñır that fits the transcription exactly, while kıñrak, the member meaning a knife, needs the unwritten final -k allowed at 30%. Iranian origin. The object has also been derived from an Iranian word for a short sword, the akinakes type, historically plausible, since the Xiongnu's western neighbors were Iranian-speaking. But 路 is a liquid-onset character, so the channel requires a liquid in second position, and the akinakes frame (k–n–k) has none. As stated, that account fails on the frame. Two cautions there too: we have not seen the exact Iranian etymon its proponents advance, and the channel shows what a transcription permits, never what it requires. §9.1 of the paper sets both origins out.","comparison cited in the literature (Hirth 1908), not the author's; tested here, with a rival Iranian etymology unresolved"
服匿,funi,buk ṇɨk,buk nık,Buknik,clay jar (küp),"服 buk → buk: exact, including the written -k coda. 匿 ṇɨk → nik: retroflex ṇ for n is routine and the second -k is also written. This is the closest fit to its own transcription of anything in this supplement: no segment inserted, none discarded. A clay jar (Turkish küp). One of the few Xiongnu material terms the Chinese sources preserve, which is what makes it worth a reading at all.",author's proposal; not supported by any measurement in the paper
甌脫,outuo,ʔo tʰuɑt,’o tuat,Otuyat,the border watchtowers,"甌 ʔo → o: vowel-initial, direct. 脫 tʰuɑt → tuyat: the aspirated t- is direct and the -t coda is written; the only addition is the medial -y-. The border watchtowers, or the empty zone between Xiongnu and Han territory, for which the Chinese sources use 甌脫.",author's proposal; not supported by any measurement in the paper
胡祿,hulu,gɔ lok,go lok,Külüg,"famous, renowned","胡 gɔ → kü: the devoicing is normal, a Later Han voiced g- standing for a source k more often than for a source g; ü cannot be written and surfaces as o. 祿 lok → lüg: the -k coda is written. The consonant frame k–l–k is secure and only the vowels are free. külüg “famous, renowned” is an Old Turkic epithet of praise, recorded by Clauson; note that the form is külüg, not külük, and it is not a headword in either lexicon used here. Two objections stand. First, the Chinese-side record gives the meaning of 胡祿 as “quiver”, not a term of praise, though that gloss is itself marked low-confidence and chronologically shaky. Second, the reading the gloss wants is barred by the transcription: the one Turkic quiver word whose skeleton fits is okluk (Kāşgarî, glossed sadak), and it is vowel-initial, whereas 胡 carries a voiced velar. In the Sanskrit corpus a source vowel-initial syllable was written with a zero or glottal onset in 96% of 183 cases, and with a velar in none. So this is an item where the Chinese gloss names a target, a Turkic word exists for it, and the spelling rules that word out, recorded because a negative of that shape is worth more than a resemblance.",author's proposal; not supported by any measurement in the paper
匈奴,Xiongnu,huoŋ nɑ,huong na,Hung,"the ethnonym, from the first character alone","匈 huoŋ → hung: direct, with the -ŋ coda written. 奴 nɑ is discarded rather than read, on the assumption that 奴 “slave” is a Chinese pejorative appended to the name rather than part of it. Dropping 奴 is common in the literature and what is proposed is only the vocalisation of the remaining syllable.",author's proposal; not supported by any measurement in the paper
羯,Jie,kɨat,kıat,Kıyat,floods,"A single character. 羯 kɨat → kıyat: the k- is default and the -t coda is written, so the consonant frame k…t is secure and only the medial glide is free. Fully character-anchored. kıyat, of flooding. The Jie are recorded as a group within or beside the Xiongnu; the reading is offered for the ethnonym only, and beside rather than against the standing one: Pulleyblank and Vovin read the ethnonym as *ket and connect it with Proto-Yeniseian *keʔt “person, human being” (Ket keʔt, Yug keʔt, Kott hit, Arin kit/qit, Pumpokol kit), which is the Yeniseian self-designation (Vovin 2000, CAJ 44/1, p. 91).",author's proposal; not supported by any measurement in the paper
